"Date","Beans, UGX/Kg","Cassava (flour), UGX/Kg","Maize (flour), UGX/Kg","Maize (white), UGX/Kg"
"02/01/2025","3508.69","","2457.46","1271.23"
"01/01/2025","3625.17","1663.67","2336.56","1298.02"
"12/01/2024","3620.95","1765.28","2316.07","1310.85"
"11/01/2024","3618.83","1790.48","2295.27","1293.46"
"10/01/2024","3884.66","1767.32","2277.1","1126.2"
"09/01/2024","3885.8","1803","2254.93","1121.37"
"08/01/2024","3807.2","1828.96","2270.39","1104.15"
"07/01/2024","3774.17","1847.41","2287.8","1095.89"
"06/01/2024","3753.27","1911.52","2309.93","1125.49"
"05/01/2024","3834.29","2025.36","2362.68","1148.49"
"04/01/2024","3762.45","2025.83","2385.95","1136.88"
"03/01/2024","3663.8","2091.54","2427.02","1105.68"
"02/01/2024","3681.72","2076.04","2499.65","1112.45"
"01/01/2024","3567.36","2168.7","2675.26","1249.54"
"12/01/2023","3659.6","2176.88","2822.75","1324.45"
"11/01/2023","3910.68","2266.75","2949.05","1396.48"
"10/01/2023","4295.82","2274.75","3054.82","1515.32"
"09/01/2023","4308.1","2306.79","3063.18","1530.85"
"08/01/2023","4249.27","2300","3111.58","1599.7"
"07/01/2023","4406.9","2360.04","3278.02","1855"
"06/01/2023","4654.1","2472.79","3388.02","2087.88"
"05/01/2023","4893.96","2520.83","3356.93","2039.15"
"04/01/2023","4633.98","2430.21","3298","1908.95"
"03/01/2023","4111.59","2375.21","3216.74","1884.84"
"02/01/2023","3824.81","2321.16","3177.69","1743.43"
"01/01/2023","3668.39","2393.59","3225.86","1701.37"
"12/01/2022","3412.42","2473.93","3428.44","1999.36"
"11/01/2022","3591.67","2273.13","3442.97","2012.87"
"10/01/2022","3856.38","2210.42","3477.35","1999.55"
"09/01/2022","3946.65","2129.83","3350.2","1983.28"
"08/01/2022","3539.95","2156.25","3220.72","1968.22"
"07/01/2022","3313.98","2162.96","3381.57","2088.87"
"06/01/2022","3206.59","1938.63","3006.6","1947"
"05/01/2022","3109.88","1768.9","2621.09","1676.73"
"04/01/2022","2857.06","1692.85","2435.61","1465.27"
"03/01/2022","2534.67","1536.67","2164.29","1235.61"
"02/01/2022","2246.47","1925","2134.71","1195.59"
"01/01/2022","2168.33","1527.33","2030.76","1090.43"
"12/01/2021","2256.64","1510.46","2022.84","1111.79"
"11/01/2021","2277.54","1523.85","2022.54","1142.96"
"10/01/2021","2319.04","1371.71","2021.37","1079.88"
"09/01/2021","2391.37","1509.43","1969.37","1124.59"
"08/01/2021","2365.33","1528.43","1936.56","1031"
"07/01/2021","2590.5","1484","1958.27","1016.76"
"06/01/2021","2698.33","1406.09","1862.83","982.58"
"05/01/2021","2970.16","1356.83","1818.54","894.12"
"04/01/2021","2968.4","1263.64","1819.28","832.83"
"03/01/2021","2978.5","","1877.56","826.44"
"02/01/2021","2671.54","","1957.69","800.69"
"01/01/2021","2940.35","","1836.31","846.46"
"12/01/2020","2877.42","","1893.54","901.96"
"11/01/2020","3169.38","","1736.85","907.38"
"10/01/2020","3488.62","","1959.54","937.08"
"09/01/2020","3615.15","","1937.62","942.38"
"08/01/2020","3465.58","","1971.25","1029.58"
"07/01/2020","3520.46","","2071.15","1045.85"
"06/01/2020","3750.5","","2178","1161.5"
"05/01/2020","4297.21","1702.64","2302.19","1170.19"
"04/01/2020","4204.31","1685.28","2315.14","1155.42"
"03/01/2020","","","",""
"02/01/2020","3414.29","1805.77","2182.14","1085.71"
"01/01/2020","3312.5","1842.26","2186.9","1152.38"
"12/01/2019","3375","1851.67","2263.33","1317.5"
"11/01/2019","3321.88","1768.75","2184.38","1300"
"10/01/2019","3221.18","1669.44","2159.03","1253.82"
"09/01/2019","3226.15","1620.82","2112.99","1298.45"
